Flavour,Calories,Total Fat (g),Trans Fat (g),Carbohydrates (g),Sugars (g),Protein (g)
Bananas Foster,160,8,0.2,20,16,2
Baseball Nut,160,9,0.2,19,13,3
Beavertails Pastry,170,9,0.3,21,15,3
Blackberry Frozen Yogurt,120,4,0.1,17,16,3
Blue Raspberry Sherbet,130,2,0.1,26,20,2
Blueberry Cheesecake,150,8,0.3,18,14,3
Brownie Sundae(No Sugar Added),120,5,0.1,21,4,3
Caramel Praline Cheesecake,170,8,0.2,21,17,3
NSA Caramel Turtle Truffle,200,8,0.2,38,7,5
Cherries Jubilee,220,11,0.4,26,19,4
Chocoholic’s Resolution,190,11,0.2,22,17,3
Chocolate,230,13,0.4,25,18,5
Chocolate Chip,240,15,0.5,23,18,5
Chocolate Chip Cookie Dough,280,15,0.5,31,23,5
Chocolate Fudge,150,9,0.3,17,12,3
Chocolate Hazelnut Truffle,280,17,0.4,29,20,5
Chocolate Mousse Royale,180,11,0.2,18,13,3
Citrus Twist Ice,100,0,0,25,18,0
Cookies ‘n Cake,190,10,0.2,21,16,3
